Snapshots,Cost_time,final_loss
0719_n1_STB_320_c1.2_b8_aTrue_i3.0w,61823.28698015213,0.0699816,||cost_time:,95.22824025154114,0.38318777084350586,1.0043437480926514,2.8156275749206543,1.136038064956665,3.509709358215332,3.4362282752990723,0.3780837059020996,1.9176976680755615,1.445829153060913,1.5596253871917725,0.4790644645690918,3.6828958988189697,0.3829774856567383,2.4962642192840576,1.6344716548919678,1.0536091327667236,0.43468189239501953,0.41410112380981445,0.40537214279174805,0.7598311901092529,1.6313047409057617,0.786405086517334,1.7021994590759277,4.483995199203491,7.117278337478638,14.755371332168579,1.8377904891967773,0.6998767852783203,5.394624710083008,61823.28698015213,||loss:,0.367124,0.098762,0.116348,0.102148,0.0797213,0.0756235,0.0882947,0.10312,0.0931181,0.0936869,0.0764801,0.0738338,0.074251,0.0794827,0.0765555,0.0647976,0.087193,0.0650699,0.0880779,0.0769096,0.0742944,0.0689854,0.0806811,0.0867333,0.0762125,0.0586526,0.0763087,0.0679026,0.0652694,0.0699816
0719_n2_RS_320_c1.2_b8_aTrue_i4.0w,80763.3921558857,0.116626,||cost_time:,266.690762758255,0.5917007923126221,1.6157793998718262,1.6848173141479492,0.9767756462097168,2.4062554836273193,0.6249701976776123,0.4207301139831543,2.794219970703125,0.4095635414123535,0.4743070602416992,4.489969730377197,0.608436107635498,1.9605278968811035,1.0004582405090332,1.1779325008392334,1.1794090270996094,0.43799304962158203,1.4625520706176758,0.4242274761199951,1.1749958992004395,0.4369196891784668,2.4797427654266357,0.7598052024841309,0.44866228103637695,3.9618539810180664,0.8411548137664795,2.666382074356079,5.4649574756622314,0.6741058826446533,0.5734348297119141,0.8309259414672852,0.7779414653778076,1.6383895874023438,2.0735538005828857,1.827918529510498,6.185455560684204,1.0199236869812012,2.286519765853882,0.9353964328765869,80763.3921558857,||loss:,0.367367,0.232753,0.166451,0.171712,0.185955,0.17704,0.100893,0.171361,0.193651,0.1691,0.175589,0.125434,0.169736,0.107644,0.105187,0.17949,0.168833,0.156786,0.145058,0.166796,0.101174,0.112782,0.160054,0.152701,0.140317,0.144059,0.141532,0.110452,0.0797106,0.147687,0.158892,0.134031,0.158273,0.141166,0.0917789,0.100167,0.165221,0.132747,0.149536,0.116626
OriginPaper,59246.212881326675,0.130542,||cost_time:,214.6705358028412,2396.1375176906586,4577.491858005524,6396.148562192917,8211.593529224396,10126.600577831268,12382.479549646378,14238.74355506897,16165.16057395935,18230.780579328537,20084.345218658447,22067.689438343048,23867.91355085373,25539.36857509613,27483.825526714325,29554.411534547806,31518.0766146183,33485.24754738808,35339.04568862915,37017.043805122375,39051.70011019707,41138.698608636856,43297.03585767746,45458.49470257759,47262.78669857979,49279.63951635361,51238.2948114872,53222.312261104584,55290.35366940498,57191.086926698685,59246.212881326675,||loss:,0.367263,0.261388,0.203089,0.18536,0.193796,0.182813,0.20832,0.155702,0.204633,0.204239,0.161889,0.183026,0.163585,0.186681,0.14035,0.157354,0.151609,0.138942,0.153147,0.174915,0.173208,0.152391,0.132696,0.156557,0.138912,0.145072,0.136265,0.145509,0.158862,0.130542
OriginPaper,100381.27136611938,0.138165,||cost_time:,203.92276120185852,2467.5700936317444,4647.07358622551,6544.062481641769,8304.028733491898,10201.467916488647,12683.010517597198,14750.749613285065,16728.663340330124,18825.008624315262,20679.28037762642,22538.144758224487,24333.520513534546,26067.311775445938,27967.296498775482,29881.821546792984,31857.76989507675,33779.11135196686,35777.64036464691,37496.558624744415,39470.9941034317,41577.0709733963,43735.42995810509,45792.28457593918,47609.23486948013,49657.18565964699,51535.117248773575,53653.83248472214,55617.53548812866,57548.87450838089,59963.766743421555,61865.360553979874,63643.28616762161,65491.17769241333,67758.12434458733,69761.52055191994,72114.91049098969,74317.17866539955,76483.24558281898,78371.6567208767,80369.91058731079,82516.78322482109,84168.38659071922,85941.53566122055,87948.89439797401,89812.81974673271,92370.31049728394,93931.92041778564,95987.07019639015,98141.1718018055,100381.27136611938,||loss:,0.360964,0.237047,0.21537,0.190254,0.172192,0.180756,0.167259,0.21119,0.167543,0.162965,0.170397,0.138969,0.159088,0.14987,0.167454,0.15266,0.149677,0.13473,0.137775,0.13932,0.148617,0.162283,0.130187,0.165642,0.16599,0.153482,0.143225,0.120926,0.137087,0.135091,0.135882,0.118844,0.13996,0.128066,0.0988648,0.127461,0.150634,0.138514,0.13474,0.137423,0.123501,0.132313,0.113307,0.133275,0.13964,0.143034,0.130939,0.126814,0.113704,0.138165
0722_n1_RHD_c1.2_b16_aTrue_vFalse_i3.0w,22505.976417541504,0.11546,||cost_time:,15.8297119140625,892.7069847583771,1629.9991054534912,2367.3721239566803,3106.46342086792,3832.6397547721863,4584.723410844803,5323.406301736832,6071.0369255542755,6812.358058691025,7560.76532125473,8295.819217443466,9030.299665927887,9764.853397846222,10496.932156324387,11226.796708106995,11971.921222925186,12744.162998199463,13508.383203029633,14270.146561861038,15036.228505134583,15788.994801282883,16534.91981625557,17282.647819280624,18025.397892951965,18779.062777280807,19510.507727622986,20278.03455901146,21028.769434690475,21772.428913593292,22505.976417541504,||loss:,0.361292,0.217962,0.183252,0.18033,0.169236,0.189596,0.162968,0.16862,0.154403,0.15739,0.154738,0.16473,0.148271,0.143146,0.129412,0.138104,0.160335,0.126989,0.141821,0.127424,0.130285,0.140735,0.146432,0.146763,0.137389,0.124353,0.129835,0.139789,0.148528,0.11546
0722_n2_RHD_c1.2_b16_aTrue_vFalse_i5.0w,35666.31450176239,0.108927,||cost_time:,19.589683771133423,896.4341192245483,1634.498856306076,2374.7912147045135,3110.1047587394714,3838.5396926403046,4592.784582853317,5329.81417798996,6075.828140735626,6821.680244684219,7570.199911832809,8303.100944042206,9037.427302598953,9770.557085514069,10509.611159563065,11238.141736745834,11986.497337818146,12765.076628684998,13529.628726243973,14293.789338350296,15054.940871238708,15803.999762296677,16552.49623966217,17297.287396907806,18050.501677274704,18800.13462781906,19538.953230142593,20306.84185743332,21059.36531496048,21802.2190887928,22526.212309598923,23197.348913908005,23868.55667924881,24538.01394891739,25208.663613557816,25879.665373325348,26548.295367240906,27214.29010772705,27880.466621398926,28548.408483743668,29215.006612062454,29878.500878095627,30543.97509407997,31210.24423766136,31876.12401866913,32539.956748008728,33206.850128650665,33827.72342133522,34435.48500752449,35052.15223646164,35666.31450176239,||loss:,0.365457,0.204828,0.188295,0.195229,0.160871,0.180962,0.158422,0.162652,0.148999,0.150964,0.159827,0.149542,0.138518,0.148601,0.126735,0.121539,0.146748,0.139614,0.143123,0.140205,0.124643,0.134634,0.121685,0.132923,0.129452,0.138108,0.122497,0.13623,0.118599,0.114126,0.109634,0.136247,0.120049,0.119239,0.124743,0.135036,0.107316,0.118409,0.125461,0.13572,0.134649,0.109112,0.119741,0.107993,0.12161,0.107484,0.130985,0.117058,0.124525,0.108927
0724_n2_RHD_c1.2_b8_aFalse_vTrue_i3.0w,10787.501073122025,0.093684,||cost_time:,10.182459115982056,354.5555033683777,709.8095579147339,1070.0468618869781,1433.766413450241,1793.1566998958588,2154.360096693039,2513.150729894638,2876.1313717365265,3244.7455291748047,3609.5062215328217,3969.2187039852142,4326.82997751236,4689.626095533371,5049.757304430008,5409.890936374664,5767.266499996185,6127.584091901779,6491.167393445969,6848.255483627319,7204.92383980751,7559.619575023651,7918.8663647174835,8275.374519348145,8635.597931861877,8993.773872613907,9355.504099845886,9714.71757864952,10073.394093751907,10429.388110876083,10787.501073122025,||loss:,0.369107,0.195398,0.196241,0.158006,0.162115,0.173921,0.140491,0.122649,0.133782,0.149802,0.118637,0.148431,0.107622,0.125635,0.113742,0.143939,0.103631,0.0963739,0.114653,0.118753,0.123768,0.103979,0.105331,0.115132,0.134428,0.0982223,0.105399,0.128028,0.0948007,0.093684
0724_n3_RHD_c1.1_b8_aFalse_vTrue_i3.0w,10902.014470338821,0.11504,||cost_time:,11.42952013015747,364.84121203422546,723.3839626312256,1088.3093984127045,1460.1303627490997,1823.217539548874,2187.784583091736,2551.820387363434,2921.683454275131,3290.728502035141,3657.0746178627014,4019.1873762607574,4380.227472782135,4744.717805624008,5107.704146146774,5468.5274295806885,5832.0357077121735,6192.923275470734,6558.571951389313,6919.618036985397,7281.434227466583,7644.18913936615,8008.606676101685,8372.355975866318,8735.928100585938,9097.568926334381,9460.445249319077,9823.312495946884,10186.48328280449,10546.472211122513,10902.014470338821,||loss:,0.36653,0.245828,0.200357,0.200952,0.196915,0.195502,0.197776,0.145282,0.148002,0.173343,0.179613,0.115252,0.137305,0.149562,0.11467,0.130764,0.12694,0.128549,0.1281,0.11164,0.0817378,0.101581,0.12781,0.0917507,0.122308,0.104822,0.112773,0.108889,0.104837,0.11504
0724_n1_RS_320_c1.2_b8_aTrue_vTrue_i4.0w,14039.720223665237,0.149074,||cost_time:,10.43995189666748,337.8758227825165,685.8639509677887,1042.7691304683685,1406.1097059249878,1766.929733991623,2126.128101825714,2484.7192363739014,2844.0941174030304,3208.353137731552,3572.105865716934,3931.8561367988586,4288.343221187592,4647.300692558289,5012.300431728363,5373.440347671509,5733.779415845871,6089.764581918716,6448.270529985428,6809.852075576782,7167.368324518204,7527.585834741592,7885.043373823166,8243.714117765427,8601.693526506424,8962.893680334091,9320.71420621872,9678.742188453674,10037.902948141098,10396.167659282684,10753.001302242279,11106.939186096191,11431.42136478424,11753.333462953568,12075.7107796669,12398.634452581406,12719.744152784348,13041.033759832382,13362.603335857391,13700.351812124252,14039.720223665237,||loss:,0.368069,0.206714,0.189623,0.219062,0.183507,0.162753,0.0932797,0.155323,0.181392,0.173821,0.167733,0.166852,0.176919,0.131936,0.156289,0.182874,0.142934,0.12924,0.136644,0.166561,0.107514,0.135216,0.191577,0.174777,0.123892,0.165358,0.152037,0.0850111,0.091206,0.139509,0.150467,0.142308,0.160539,0.135219,0.0866631,0.0783597,0.134956,0.128557,0.132877,0.149074
0724_n4_RHD_c1.2_b8_aFalse_vTrue_i5.0w,17640.421725988388,0.0686597,||cost_time:,11.229642152786255,369.65398049354553,729.1441013813019,1094.310049533844,1458.0975234508514,1821.044644832611,2188.4605572223663,2551.875718355179,2921.463360786438,3293.0578048229218,3655.444650888443,4020.9546358585358,4384.173115491867,4751.191698789597,5113.434636592865,5473.741832256317,5836.129153251648,6200.799731254578,6564.898478269577,6925.710686683655,7285.402483701706,7648.039855480194,8006.868027448654,8368.150627374649,8729.599155664444,9088.510691642761,9454.221521377563,9816.50132226944,10177.264727830887,10535.118294000626,10884.950390815735,11224.105511665344,11565.850374698639,11906.458122491837,12246.561582326889,12587.362403154373,12928.268097162247,13271.686162471771,13615.951782941818,13949.105410575867,14284.87909412384,14621.163006305695,14957.165297985077,15294.838425636292,15629.270797729492,15965.450314283371,16300.926282644272,16639.547794103622,16972.916682243347,17304.265513896942,17640.421725988388,||loss:,0.365783,0.202987,0.187537,0.184214,0.201458,0.178733,0.138024,0.196725,0.135453,0.126848,0.156407,0.136354,0.122144,0.136486,0.123221,0.125817,0.136261,0.131402,0.106722,0.135404,0.103713,0.0942432,0.0997616,0.132092,0.122506,0.102832,0.114671,0.101624,0.116422,0.0812661,0.114911,0.116195,0.104666,0.113785,0.086787,0.0930688,0.0842837,0.090089,0.0776658,0.123022,0.0812191,0.0861254,0.0991147,0.0904421,0.0866411,0.0730379,0.102939,0.075062,0.11254,0.0686597
0801_n1_RHD_c1.2_b8_aFalse_vTrue_i3.0w,50363.20978283882,0.349183,||cost_time:,47.52275013923645,1830.120423078537,3559.953700065613,5250.2513263225555,6936.571977615356,8596.983087778091,10263.188428878784,11926.645599126816,13589.246621370316,15253.03421664238,16909.845938682556,18559.312214374542,20210.14759993553,21849.438500881195,23488.37030696869,25126.39566063881,26787.502109527588,28457.641996622086,30135.068641901016,31797.645087718964,33432.90249013901,35080.070393800735,36785.78647875786,38684.94047045708,40613.540122032166,42285.47151970863,43916.707785606384,45540.304295539856,47157.54983878136,48766.40140604973,50363.20978283882,||loss:,0.365919,0.355142,0.351747,0.353372,0.350686,0.350714,0.349057,0.350675,0.349582,0.349175,0.35056,0.350216,0.349641,0.336563,0.350027,0.348788,0.349712,0.349131,0.349163,0.348449,0.348749,0.349055,0.347456,0.349226,0.349884,0.348034,0.348557,0.348328,0.347332,0.349183
0802_n2_STB_320_c1.2_b8_aFalse_vTrue_dTrue_i3.0w,20701.678903102875,0.0240912,||cost_time:,17.66605234146118,708.0412867069244,1403.479658126831,2090.660650253296,2777.1407685279846,3461.473134994507,4146.735336780548,4831.521948337555,5519.533985614777,6204.57529592514,6886.651416540146,7577.532063245773,8268.245080471039,8961.378634929657,9652.930249452591,10341.260930538177,11028.255300998688,11720.77360033989,12413.36811041832,13103.428102731705,13794.673734426498,14487.086243391037,15181.184478998184,15871.373587846756,16561.622134447098,17248.857043981552,17940.2863240242,18631.09398174286,19321.223701238632,20011.244116067886,20701.678903102875,||loss:,0.709796,0.159994,0.0883887,0.124947,0.0636636,0.112646,0.161612,0.100407,0.120097,0.0758348,0.082476,0.0452944,0.054152,0.0695369,0.0418784,0.0620382,0.0900137,0.0450798,0.0501617,0.0496644,0.0475963,0.0481358,0.0489241,0.0681106,0.0373431,0.0271393,0.0205643,0.0303647,0.0587265,0.0240912
0802_n1_STB_320_c1.2_b8_aFalse_vTrue_i3.0w,56349.05761909485,0.242544,||cost_time:,35.609991788864136,1647.2156677246094,3251.4561247825623,4880.096129417419,6543.64547419548,8241.744378566742,9981.760919570923,11743.152909040451,13529.097090244293,15342.814632892609,17186.41655063629,19042.988618135452,20916.103566884995,22788.115486860275,24992.335515499115,27431.472729444504,29387.821287870407,31295.853429555893,33213.07339763641,35127.32839846611,37056.23955607414,38980.29771566391,40906.16464281082,42827.97454071045,44761.17825317383,46690.310271024704,48639.54105210304,50571.98537135124,52505.046838998795,54426.233454465866,56349.05761909485,||loss:,0.36701,0.25705,0.256893,0.259175,0.259448,0.256315,0.256252,0.257822,0.251494,0.250118,0.245817,0.250846,0.249778,0.243591,0.246272,0.245168,0.247637,0.247072,0.244158,0.245092,0.245157,0.246901,0.244022,0.245295,0.245026,0.242992,0.242945,0.244103,0.243139,0.242544
0804_n1_RHD_c1.2_b8_aFalse_vTrue_dTrue_i3.0w,11097.507309675217,0.142819,||cost_time:,12.897789716720581,379.5320293903351,754.4549403190613,1140.5044956207275,1520.8199980258942,1903.7747786045074,2283.2657341957092,2660.6152296066284,3032.1715359687805,3399.453272819519,3772.8137578964233,4136.675651550293,4501.574558019638,4870.311922550201,5232.179683685303,5598.095792293549,5968.00856924057,6331.1603944301605,6702.924214601517,7067.443085670471,7431.1370351314545,7800.727439880371,8165.7756979465485,8530.082107067108,8898.752272605896,9263.94622206688,9632.946089982986,9999.783430337906,10363.85679101944,10734.782980203629,11097.507309675217,||loss:,0.710883,0.312836,0.341086,0.278064,0.291984,0.325226,0.265937,0.272518,0.224088,0.272365,0.229762,0.248302,0.260562,0.19445,0.170378,0.220019,0.236622,0.199474,0.130728,0.236857,0.129373,0.149552,0.14905,0.146505,0.194732,0.185029,0.165628,0.151076,0.132545,0.142819
0804_n2_RHD_slim_c1.2_b8_aFalse_vTrue_dTrue_i3.0w,11469.954893827438,0.120865,||cost_time:,12.277895212173462,379.0274467468262,750.8317251205444,1149.6355695724487,1565.6815526485443,1957.2489252090454,2354.7355687618256,2730.286640405655,3117.4170303344727,3492.6520125865936,3875.9264085292816,4252.672110080719,4630.8060183525085,5014.007435083389,5387.534588813782,5773.793670892715,6149.45358133316,6537.561007976532,6912.03334569931,7299.3381361961365,7674.906757354736,8063.128236055374,8435.985262393951,8817.156952619553,9199.687772035599,9572.76660323143,9961.359693050385,10337.108210325241,10726.422547578812,11099.127751588821,11469.954893827438,||loss:,0.712008,0.404349,0.302525,0.286506,0.314224,0.253626,0.234299,0.197585,0.245051,0.209728,0.193177,0.259821,0.208453,0.142561,0.207911,0.224765,0.150969,0.218508,0.170297,0.203935,0.190396,0.126776,0.172468,0.188435,0.131233,0.17423,0.108633,0.128414,0.154281,0.120865
0806_n1_RS_320_c1.2_b8_aFalse_vTrue_dTrue_i4.0w,14918.38894200325,0.197279,||cost_time:,11.11716341972351,382.0866572856903,749.1807885169983,1117.4610772132874,1479.9060685634613,1845.7013301849365,2208.3188786506653,2565.6542563438416,2914.093722820282,3262.8230125904083,3614.2721738815308,3964.2234728336334,4314.059101343155,4685.93754196167,5063.715455293655,5444.70325088501,5817.337222576141,6203.5680539608,6576.510570764542,6949.392549276352,7332.340663194656,7707.6725335121155,8081.946758747101,8463.657450914383,8845.505002975464,9227.537502765656,9610.745108604431,9989.125289201736,10371.172405719757,10744.977780342102,11120.039021492004,11504.458963155746,11878.159721136093,12263.529302835464,12637.85073018074,13018.84743475914,13395.257618427277,13769.427644014359,14154.073429346085,14535.021338224411,14918.38894200325,||loss:,0.712071,0.414714,0.307968,0.325792,0.320619,0.313308,0.180393,0.212646,0.337457,0.201586,0.283485,0.211716,0.261756,0.177613,0.174895,0.240933,0.159556,0.228167,0.184702,0.221224,0.106271,0.178486,0.136018,0.162107,0.161762,0.19944,0.16905,0.098853,0.0965124,0.244414,0.16894,0.205882,0.169216,0.157413,0.109467,0.134106,0.269851,0.219566,0.232675,0.197279
